Day, Time, Open Price, High Price, Low Price, Close Price
2020-07-08, 2020-07-08T16:06:29, 4073.6, 4074.3, 4073.6, 4073.6
2020-07-08, 2020-07-08T16:06:30, 4073.9, 4073.9, 4073.9, 4073.9
2020-07-08, 2020-07-08T16:06:31, 4073.6, 4073.6, 4072.9, 4072.9
2020-07-08, 2020-07-08T16:06:32, 4072.6, 4073.6, 4072.6, 4073.3
2020-07-08, 2020-07-08T16:06:33, 4072.9, 4073.3, 4072.9, 4072.9
2020-07-08, 2020-07-08T16:06:34, 4072.6, 4073.3, 4072.6, 4072.9
2020-07-08, 2020-07-08T16:06:35, None, None, None, None
2020-07-08, 2020-07-08T16:06:36, 4072.6, 4072.9, 4072.6, 4072.9
2020-07-08, 2020-07-08T16:06:37, 4072.6, 4072.9, 4072.6, 4072.9
2020-07-08, 2020-07-08T16:06:38, 4072.6, 4072.6, 4072.3, 4072.3
2020-07-08, 2020-07-08T16:06:40, 4072.6, 4072.6, 4072.3, 4072.3
2020-07-08, 2020-07-08T16:06:41, 4072.6, 4073.3, 4072.3, 4072.9
2020-07-08, 2020-07-08T16:06:43, 4072.6, 4072.6, 4072.6, 4072.6
2020-07-08, 2020-07-08T16:06:44, 4072.3, 4072.3, 4072.3, 4072.3
2020-07-08, 2020-07-08T16:06:45, 4072.4, 4072.6, 4072.3, 4072.6
2020-07-08, 2020-07-08T16:06:46, 4072.3, 4072.9, 4072.3, 4072.3
2020-07-08, 2020-07-08T16:06:47, 4072.6, 4072.6, 4072.3, 4072.3
2020-07-08, 2020-07-08T16:06:48, 4072.4, 4072.6, 4072.3, 4072.3
2020-07-08, 2020-07-08T16:06:49, 4072.6, 4072.9, 4072.6, 4072.9
2020-07-08, 2020-07-08T16:06:50, 4072.6, 4072.6, 4072.4, 4072.6
2020-07-08, 2020-07-08T16:06:51, 4072.9, 4072.9, 4072.6, 4072.6
2020-07-08, 2020-07-08T16:06:52, 4072.9, 4072.9, 4072.6, 4072.6
2020-07-08, 2020-07-08T16:06:54, None, None, None, None
2020-07-08, 2020-07-08T16:06:56, 4072.3, 4072.3, 4072.3, 4072.3
2020-07-08, 2020-07-08T16:06:57, None, None, None, None
2020-07-08, 2020-07-08T16:06:58, None, None, None, None
2020-07-08, 2020-07-08T16:06:59, None, None, None, None
2020-07-08, 2020-07-08T16:07:00, 4072.4, 4072.6, 4072.4, 4072.6
2020-07-08, 2020-07-08T16:07:01, 4072.3, 4072.6, 4071.6, 4071.6
2020-07-08, 2020-07-08T16:07:02, 4071.3, 4071.3, 4070.6, 4070.6
2020-07-08, 2020-07-08T16:07:03, 4070.4, 4070.6, 4070.4, 4070.6
2020-07-08, 2020-07-08T16:07:04, 4070.4, 4070.6, 4070.4, 4070.6
2020-07-08, 2020-07-08T16:07:05, 4070.4, 4070.6, 4070.3, 4070.3
2020-07-08, 2020-07-08T16:07:06, None, None, None, None
2020-07-08, 2020-07-08T16:07:08, 4070.4, 4070.4, 4070.3, 4070.3
2020-07-08, 2020-07-08T16:07:09, None, None, None, None
2020-07-08, 2020-07-08T16:07:10, 4069.9, 4070.3, 4069.6, 4069.9
2020-07-08, 2020-07-08T16:07:11, 4070.3, 4070.3, 4069.9, 4069.9
2020-07-08, 2020-07-08T16:07:12, 4069.6, 4069.6, 4069.6, 4069.6
2020-07-08, 2020-07-08T16:07:13, 4069.3, 4070.3, 4069.3, 4070.3
2020-07-08, 2020-07-08T16:07:14, 4069.9, 4070.3, 4069.9, 4070.3
2020-07-08, 2020-07-08T16:07:16, 4069.9, 4070.3, 4069.9, 4069.9
